id,title,price,promo_price,url
3473560,Ополаскиватель Top House для посудомоечных машин 500 мл,410,258,https://www.detmir.ru/product/index/id/3473560/
3640011,Гель для мытья посуды INSEENSE 500мл,350,227,https://www.detmir.ru/product/index/id/3640011/
4484879,Гель для посуды Zelenka с экстрактом алоэ 5л,955,,https://www.detmir.ru/product/index/id/4484879/
3495915,Гель Кря-Кря для мытья посуды и игрушек 500 мл,312,292,https://www.detmir.ru/product/index/id/3495915/
4595056,Гель-бальзам для мытья посуды Synergetic Базилик-Свежая мята 1л,459,,https://www.detmir.ru/product/index/id/4595056/
3665683,Cредство для мытья посуды Palmia Cappuccino с ароматом капучино 5 л,1613,983,https://www.detmir.ru/product/index/id/3665683/
3413267,Ершик для бутылочек Babyono с губкой 720 Розовый,306,236,https://www.detmir.ru/product/index/id/3413267/
4595057,Гель-бальзам для мытья посуды Synergetic Базилик-Свежая мята 3.5л,1299,,https://www.detmir.ru/product/index/id/4595057/
3856211,Ершики ПОМА бирюзовый Пома,294,264,https://www.detmir.ru/product/index/id/3856211/
4875264,Гель для мытья посуды овощей и фруктов Meine Liebe 485мл,269,219,https://www.detmir.ru/product/index/id/4875264/
3413257,Набор ершиков Babyono NATURAL NURSING 736,1054,790,https://www.detmir.ru/product/index/id/3413257/
4053043,Гель для детской посуды Planeta Organica Organic People гипоалергенный 500мл,259,,https://www.detmir.ru/product/index/id/4053043/
3604481,Средство для посуды ATTITUDE Яблоко/Базилик Гель,815,,https://www.detmir.ru/product/index/id/3604481/
4595069,Гель-бальзам для мытья посуды Synergetic Эвкалипт-Горный чабрец 3.5л,1299,,https://www.detmir.ru/product/index/id/4595069/
4595063,Гель-бальзам для мытья посуды Synergetic Розовый грейпфрут-Специи 3.5л,1299,,https://www.detmir.ru/product/index/id/4595063/
3202951,Средство для мытья посуды овощей и фруктов LION Chamgreen Японский абрикос 960мл,499,315,https://www.detmir.ru/product/index/id/3202951/
3894706,Моющее средство BioBac против грибка и плесени с ионами серебра 750 мл,877,359,https://www.detmir.ru/product/index/id/3894706/
1180381,Ершик для бутылочек и сосок Мир Детства в ассортименте 19517,355,305,https://www.detmir.ru/product/index/id/1180381/
3604765,Ершик Munchkin для мытья поильников и бутылочек 4 шт Munchkin,1100,660,https://www.detmir.ru/product/index/id/3604765/
4784038,Ерш для мытья посуды Доляна с деревянной ручкой,489,220,https://www.detmir.ru/product/index/id/4784038/
4424707,Гель для посуды WONDER Lab антибактериальным комплексом апельсин и лаванда 550мл,275,,https://www.detmir.ru/product/index/id/4424707/
3470061,Гель для мытья посуды и игрушек WONDER Lab с 0месяцев 480мл,195,135,https://www.detmir.ru/product/index/id/3470061/
3251305,Средство для мытья посуды Мир Детства Гипоаллергенное 500мл,309,,https://www.detmir.ru/product/index/id/3251305/
2267701,Средство для мытья посуды Synergetic 500мл,229,129,https://www.detmir.ru/product/index/id/2267701/
3885600,Гель для посуды сосок бутылочек Rossinka baby 500мл,209,,https://www.detmir.ru/product/index/id/3885600/
3202958,Средство для мытья посуды LION Chamgreen концентрированное Розмарин 450мл,479,295,https://www.detmir.ru/product/index/id/3202958/
4692772,Средство для мытья посуды CJ LION Charmgreen pump овощей и фруктов зеленый чай 1 кг,927,558,https://www.detmir.ru/product/index/id/4692772/
3885602,Гель для всех видов посудомоечных машин Rossinka 1000мл,669,,https://www.detmir.ru/product/index/id/3885602/
4595058,Гель-бальзам для мытья посуды Synergetic Розмарин-Листья смородины 0.5л,269,,https://www.detmir.ru/product/index/id/4595058/
3682359,Набор ершиков Солнце и луна 2шт 7471,205,,https://www.detmir.ru/product/index/id/3682359/
3827592,Набор от накипи Anti bọt в бытовых приборах 50 г и 35 таблеток для стиральных машин,429,218,https://www.detmir.ru/product/index/id/3827592/
3543315,Таблетки TOPPERR в водорастворимой оболочке для посудомоечных машин 24шт 3320,709,567,https://www.detmir.ru/product/index/id/3543315/
4595065,Гель-бальзам для мытья посуды Synergetic Сочный гранат-Абрикос 1л,459,,https://www.detmir.ru/product/index/id/4595065/
4692432,Таблетки FeedBack для посудомоечных машин ALL in 1 30 шт.,672,,https://www.detmir.ru/product/index/id/4692432/
4595062,Гель-бальзам для мытья посуды Synergetic Розовый грейпфрут-Специи 1л,459,,https://www.detmir.ru/product/index/id/4595062/
4692755,Средство для мытья посуды CJ LION Charmgreen овощей и фруктов гранат 900 г,856,513,https://www.detmir.ru/product/index/id/4692755/
3118608,Средство Babyline для мытья детской посуды 250мл DB044/N,129,,https://www.detmir.ru/product/index/id/3118608/
3856235,Ёршики ПОМА желтый Пома,277,249,https://www.detmir.ru/product/index/id/3856235/
3374170,Ершик для бутылочек Nuk 2в1 Голубой 10750747,729,,https://www.detmir.ru/product/index/id/3374170/
4594630,Гель-бальзам для мытья посуды Synergetic Synergetic Pure 0% 0.5л 103064,269,,https://www.detmir.ru/product/index/id/4594630/
3413270,Ершик для бутылочек Babyono Серый 721,235,,https://www.detmir.ru/product/index/id/3413270/
3473567,Таблетки Top House для посудомоечных машин в водорастворимой плёнке 24 шт,680,496,https://www.detmir.ru/product/index/id/3473567/
3668107,Гель для мытья посуды Neutrale гипоаллергенный без запаха и фосфатов Эко 400мл,329,263,https://www.detmir.ru/product/index/id/3668107/
3413258,Набор ершиков Babyono для бутылочек и сосок Голубой 728/01,490,,https://www.detmir.ru/product/index/id/3413258/
4693033,Средство для мытья посуды CJ LION Charmgreen овощей и фруктов зеленый чай 310 мл,311,217,https://www.detmir.ru/product/index/id/4693033/
4681986,Средство для мытья посуды CJ LION Charmgreen овощей и фруктов древесный уголь 1.2 кг,782,547,https://www.detmir.ru/product/index/id/4681986/
3496830,Спрей для мытья посуды Химола Фермент-15 активная пена,199,,https://www.detmir.ru/product/index/id/3496830/
4682099,Средство для мытья посуды CJ LION Charmgreen овощей и фруктов зеленый чай 500 г,566,345,https://www.detmir.ru/product/index/id/4682099/
4692760,Средство для мытья посуды CJ LION Chamgreen bottle овощей и фруктов Японский абрикос 500г,527,335,https://www.detmir.ru/product/index/id/4692760/
3654752,Ершик Bebe Confort для мытья бутылочек со спонжем 3102206700 Bebe Confort,485,339,https://www.detmir.ru/product/index/id/3654752/
3810589,Средство для мытья посуды Солнце и луна Eco эфирное масло грейпфрута 0.5л,169,,https://www.detmir.ru/product/index/id/3810589/
4595067,Гель-бальзам для мытья посуды Synergetic Эвкалипт-Горный чабрец 0.5л,269,,https://www.detmir.ru/product/index/id/4595067/
3143782,Мыло для кухни посуды и рук Hanbok жидкое Белый лотос 500мл,159,,https://www.detmir.ru/product/index/id/3143782/
3543318,Очиститель TOPPERR посудомоечных машин 3308,409,327,https://www.detmir.ru/product/index/id/3543318/
4595068,Гель-бальзам для мытья посуды Synergetic Эвкалипт-Горный чабрец 1л,459,,https://www.detmir.ru/product/index/id/4595068/
4595059,Гель-бальзам для мытья посуды Synergetic Розмарин-Листья смородины 1л,459,,https://www.detmir.ru/product/index/id/4595059/
4455728,Средство для мытья посуды Sanita Clear 510 г,249,148,https://www.detmir.ru/product/index/id/4455728/
4784035,Ерш для мытья посуды Доляна с микрофиброй натуральная щетина,449,139,https://www.detmir.ru/product/index/id/4784035/
4568912,Набор ёршиков Пома для мытья клапанов и трубочек,256,230,https://www.detmir.ru/product/index/id/4568912/
3885630,Гель для посуды Rossinka малина-мята 500мл,199,,https://www.detmir.ru/product/index/id/3885630/
3413256,Ершик для соломинок и трубочек Babyono 733,306,,https://www.detmir.ru/product/index/id/3413256/
4784032,Ерш для мытья посуды Доляна с деревянной ручкой,213,66,https://www.detmir.ru/product/index/id/4784032/
3143781,Средство для мытья посуды и рук Hanbok 2в1 Ягоды Годжи и красный женьшень 500мл,219,,https://www.detmir.ru/product/index/id/3143781/
3175533,Спрей для мытья фруктов и овощей DR.TUTTELLE с экстрактом мыльнянки 250мл,339,255,https://www.detmir.ru/product/index/id/3175533/
